action_lable,python_signal,matlable_signal,,,,Datetime,matlable_signal,
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/9/8 9:15,2015/9/8 9:15,FALSE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/9/9 9:15,2015/9/9 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/9/10 9:15,2015/9/10 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/9/11 9:20,2015/9/11 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/9/16 10:40,2015/9/16 10:40,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/9/17 10:35,2015/9/17 10:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/9/18 14:45,2015/9/18 14:45,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/9/22 11:25,2015/9/22 11:25,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/9/24 9:50,2015/9/24 9:50,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/9/25 9:20,2015/9/25 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/9/30 9:20,2015/9/30 9:20,TRUE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/10/9 9:20,2015/10/9 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/12 10:45,2015/10/12 10:45,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/10/13 9:20,2015/10/13 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/14 9:20,2015/10/14 9:20,TRUE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/10/15 9:15,2015/10/15 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/16 9:15,2015/10/16 9:15,FALSE
Prev+Profit Close,'Prev+Profit Close','Prev+Profit Close',TRUE,,,2015/10/19 9:15,2015/10/19 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/20 9:20,2015/10/20 9:20,TRUE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/10/21 9:20,2015/10/21 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/22 9:15,2015/10/22 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/10/23 9:15,2015/10/23 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/26 9:15,2015/10/26 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/10/27 9:15,2015/10/27 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/28 13:35,2015/10/28 13:35,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/10/29 9:15,2015/10/29 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/10/30 9:15,2015/10/30 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/11/2 9:20,2015/11/2 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/3 9:15,2015/11/3 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/11/4 9:15,2015/11/4 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/6 9:20,2015/11/6 9:20,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/11/9 9:15,2015/11/9 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/10 9:15,2015/11/10 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/11/11 9:15,2015/11/11 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/12 9:15,2015/11/12 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/11/13 9:15,2015/11/13 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/16 9:15,2015/11/16 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/11/17 9:55,2015/11/17 9:55,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/18 9:45,2015/11/18 9:45,TRUE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/11/19 9:15,2015/11/19 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/20 9:15,2015/11/20 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/11/23 9:15,2015/11/23 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/24 9:15,2015/11/24 9:15,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/11/25 9:15,2015/11/25 9:15,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/26 9:15,2015/11/26 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/11/27 9:20,2015/11/27 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/11/30 9:15,2015/11/30 9:15,FALSE
StopLoss Close,'StopLoss Close','StopLoss Close',TRUE,,,2015/12/1 9:20,2015/12/1 9:20,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/12/2 9:15,2015/12/2 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/12/3 9:25,2015/12/3 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/12/4 14:25,2015/12/4 14:25,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/12/7 9:25,2015/12/7 9:25,TRUE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/12/9 10:00,2015/12/9 10:00,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/12/10 11:00,2015/12/10 11:00,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/12/11 9:15,2015/12/11 9:15,FALSE
LockProfit Close,'LockProfit Close','LockProfit Close',TRUE,,,2015/12/14 13:35,2015/12/14 13:35,FALSE
Normal Open,'Normal Open','Normal Open',TRUE,,,2015/12/22 14:30,2015/12/22 14:30,FALSE
Normal Close,'Normal Close','Normal Close',TRUE,,,2015/12/24 9:55,2015/12/24 9:55,FALSE
